iter	Passed	Remaining
0	139	139850
1	141	70515
2	142	47516
3	144	35994
4	147	29260
5	148	24618
6	149	21267
7	151	18790
8	152	16770
9	153	15150
10	153	13820
11	154	12704
12	154	11759
13	155	10949
14	156	10252
15	156	9636
16	157	9094
17	157	8608
18	158	8176
19	158	7785
20	159	7444
21	160	7127
22	160	6832
23	161	6565
24	162	6319
25	163	6133
26	164	5940
27	165	5746
28	166	5565
29	166	5392
30	167	5240
31	168	5090
32	168	4950
33	169	4815
34	170	4687
35	170	4566
36	171	4460
37	172	4355
38	172	4254
39	173	4158
40	173	4067
41	174	3987
42	175	3907
43	176	3830
44	177	3762
45	178	3699
46	179	3631
47	179	3569
48	180	3507
49	181	3446
50	182	3389
51	182	3332
52	183	3279
53	184	3230
54	185	3180
55	185	3132
56	186	3088
57	187	3042
58	187	2998
59	188	2959
60	189	2918
61	190	2877
62	190	2839
63	191	2803
64	192	2770
65	193	2736
66	194	2702
67	194	2667
68	195	2635
69	196	2604
70	196	2574
71	197	2544
72	198	2516
73	198	2487
74	199	2460
75	200	2433
76	200	2409
77	201	2384
78	202	2360
79	203	2336
80	203	2312
81	204	2290
82	205	2268
83	206	2250
84	206	2227
85	207	2209
86	208	2186
87	208	2165
88	209	2146
89	210	2129
90	211	2112
91	212	2097
92	213	2080
93	214	2063
94	214	2046
95	215	2031
96	216	2015
97	217	2000
98	218	1984
99	218	1969
100	219	1954
101	219	1936
102	220	1923
103	221	1909
104	222	1896
105	223	1884
106	224	1870
107	224	1857
108	225	1846
109	226	1834
110	227	1823
111	228	1811
112	229	1799
113	229	1787
114	230	1777
115	231	1764
116	232	1754
117	233	1742
118	233	1730
119	234	1719
120	235	1709
121	236	1698
122	236	1686
123	237	1678
124	238	1668
125	239	1659
126	239	1649
127	240	1638
128	241	1629
129	242	1620
130	243	1612
131	243	1603
132	244	1595
133	245	1587
134	246	1578
135	247	1571
136	248	1563
137	248	1554
138	249	1547
139	250	1540
140	252	1535
141	252	1527
142	253	1519
143	254	1512
144	255	1505
145	256	1499
146	257	1492
147	258	1485
148	258	1479
149	259	1472
150	260	1466
151	261	1459
152	262	1452
153	263	1446
154	264	1439
155	264	1433
156	265	1426
157	267	1423
158	267	1417
159	268	1411
160	269	1405
161	270	1398
162	271	1392
163	272	1386
164	272	1381
165	273	1375
166	274	1370
167	275	1364
168	276	1358
169	277	1352
170	277	1346
171	278	1341
172	279	1335
173	280	1331
174	281	1327
175	282	1322
176	283	1318
177	284	1312
178	285	1307
179	285	1302
180	286	1296
181	287	1291
182	288	1286
183	289	1282
184	289	1277
185	290	1272
186	291	1267
187	292	1262
188	293	1257
189	293	1252
190	294	1248
191	295	1244
192	296	1240
193	297	1235
194	298	1231
195	299	1227
196	299	1222
197	300	1218
198	301	1214
199	302	1210
200	303	1206
201	304	1201
202	305	1197
203	305	1193
204	306	1188
205	307	1184
206	308	1180
207	309	1177
208	310	1173
209	310	1169
210	311	1165
211	312	1161
212	313	1157
213	314	1153
214	315	1150
215	315	1146
216	316	1142
217	317	1138
218	318	1134
219	318	1130
220	319	1127
221	320	1123
222	321	1119
223	321	1115
224	322	1111
225	323	1107
226	324	1104
227	325	1101
228	326	1099
229	327	1096
230	328	1092
231	329	1089
232	330	1086
233	331	1083
234	331	1080
235	332	1077
236	333	1074
237	334	1071
