iter	Passed	Remaining
0	190	190502
1	193	96565
2	196	65152
3	199	49618
4	201	40156
5	204	33879
6	206	29301
7	209	25934
8	212	23370
9	214	21280
10	217	19578
11	225	18589
12	227	17305
13	230	16244
14	232	15291
15	234	14424
16	236	13686
17	239	13059
18	241	12482
19	242	11904
20	244	11410
21	247	11000
22	248	10572
23	252	10265
24	254	9920
25	255	9584
26	258	9315
27	260	9040
28	261	8759
29	264	8553
30	267	8366
31	269	8159
32	271	7968
33	273	7783
34	275	7593
35	277	7419
36	279	7278
37	282	7139
38	284	7006
39	286	6873
40	288	6746
41	289	6613
42	291	6480
43	293	6374
44	294	6257
45	296	6149
46	297	6039
47	299	5936
48	300	5833
49	302	5739
50	303	5646
51	304	5559
52	307	5490
53	308	5410
54	310	5329
55	311	5249
56	312	5167
57	313	5088
58	314	5014
59	315	4945
60	316	4878
61	318	4814
62	319	4750
63	321	4701
64	322	4641
65	323	4581
66	324	4524
67	326	4468
68	327	4413
69	328	4360
70	329	4310
71	330	4265
72	332	4222
73	333	4178
74	336	4144
75	337	4101
76	338	4054
77	339	4008
78	339	3963
79	340	3919
80	341	3877
81	342	3836
82	343	3791
83	344	3754
84	345	3721
85	347	3690
86	348	3656
87	350	3632
88	351	3600
89	352	3567
90	353	3534
91	355	3504
92	356	3472
93	357	3442
94	358	3413
95	359	3386
96	360	3359
97	362	3333
98	363	3309
99	365	3288
100	367	3269
101	368	3247
102	369	3221
103	370	3195
104	371	3168
105	372	3143
106	373	3120
107	375	3097
108	376	3074
109	377	3050
110	378	3028
111	379	3009
112	381	2990
113	382	2969
114	383	2948
115	384	2927
116	384	2904
117	385	2883
118	386	2862
119	387	2843
120	389	2826
121	389	2806
122	390	2786
123	391	2767
124	392	2749
125	394	2735
126	395	2717
127	396	2702
128	397	2684
129	399	2671
130	400	2653
131	400	2635
132	401	2620
133	403	2605
134	404	2590
135	405	2578
136	406	2562
137	407	2547
138	409	2536
139	410	2522
140	411	2508
141	412	2492
142	413	2478
143	414	2463
144	415	2449
145	416	2435
146	417	2423
147	418	2411
148	420	2399
149	421	2387
150	422	2374
151	424	2365
152	425	2355
153	426	2345
154	428	2334
155	429	2323
156	430	2313
157	432	2303
158	433	2293
159	434	2281
160	435	2269
161	436	2257
162	437	2247
163	439	2240
164	440	2231
165	442	2223
166	443	2213
167	445	2204
168	446	2195
169	447	2187
170	449	2178
171	450	2169
172	452	2161
173	453	2154
174	455	2148
175	457	2140
176	458	2132
177	460	2124
178	461	2117
179	462	2108
180	464	2099
181	465	2091
182	467	2085
183	468	2078
184	469	2070
185	471	2065
186	473	2057
187	474	2049
188	475	2041
189	476	2033
190	478	2024
191	479	2017
192	480	2010
193	482	2003
194	483	1997
195	486	1993
196	487	1986
